and 和 
as 样地 
async 不同步的，异步的 
assert 断言 
await 等待 
break 打破 
class 课程 
continue 继续 
def 给…下定义 
del 删去 
elif 至少 
else 别的 
except 除了 
exec 行政部门 
finally 最后 
for 供…用的，用于… 
from 始于 
global 总体的，全面性的 
if 如果 rú guǒ
import 导入，转入 
in 在…内 
is 是 
lambda 拉姆达 
nonlocal 非本地的 
not 不 
or 也叫作 
pass 经过 
print 打印 
raise 涨价 
return 归还 
try 试图 
while 既然 
with 有 
yield  让路 
True 真实的 
False 不真实的 
None 没有一个 
str 线 
int 整数 
float 浮动 
complex 复杂的 
list 表 
tuple 元组 
range 范围 
dict 词典
set 套 
frozenset 冷冻组 
bool 布尔值 
bytes 字节 
bytearray 字节数组 
memoryview 内存视图 
NoneType 无类型 
