and y
as como
async asincrónico
assert afirma
await espera
break rompe
class clase
continue sigue
def defina
del borra
elif demássi
else demás
except excepto
exec ejecuta
finally fin
for para
from de
global global
if si
import importa
in en
is es
lambda lambda
nonlocal no_local
not no
or o
pass pasa
print imprime
raise levanta
return regresa
try prueba
while durante
with con
yield cede
True Cierto
False Falso
None Nada
str secuencia
int entero
float flotante
complex complejo
list lista
tuple tuple
range gama
dict diccionario
set colección
frozenset colección_inmovilada
bool booleano
bytes bytes
bytearray matriz_de_bytes
memoryview vista_de_memoria
NoneType clase_para_nada
